"Name","Dates associated with name","Type of name","Role","Other names","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"Ahlstrom, Peter","","person","","Endō, Minari [person] ; Ahlstrom, Peter [person] ; Yang, Yoohae [person]","013761829","Monograph","Language material ; Text","Volume","GBA743557","","Dazzle","Hatenkō yūgi. English","","","England ; Germany","Hamburg ; London","Tokyopop","2006-","","volumes, chiefly illustrations, 19 cm","741.5952","YK.2009.a.22014","","Novel","English","'First published in Japan in 2002 by Ichijinsha, Tokyo'--Vol. 1, t.p. verso ; In keeping with the original Japanese format, this book reads from right to left and back to front ; Translated from the Japanese"
"Ahlstrom, Peter","","person","","Suzuki, Julietta [person] ; Ahlstrom, Peter [person] ; Tokutake, Aimi [person]","015607836","Monograph","Language material ; Text","Volume","GBB0D1953","","Karakuri Odette","Karakuri Odetto. English","","","Germany","Hamburg","Tokyopop","2009-2011","","6 volumes, chiefly illustrations, 19 cm","741.5952","YK.2010.a.30796 ; YK.2010.a.31317 ; YK.2011.a.18627 ; YK.2011.a.4788","Androids--Comic books, strips, etc ; High school students--Comic books, strips, etc ; Graphic novels ; Comic books, strips, etc--Japan--Translations into English","Comic or graphic novel ; Humour or satire ; Science fiction ; Translations into English","English","'A Tokyopop manga'--T.p. verso ; Originally published: Japan : Hakusensha, including, 2006-2008 ; This book is printed 'Manga-style' in keeping with the original Japanese format. This book reads from back to front and from right to left ; Translated from the Japanese"
"Ahluwalia, Bhupendra","","person","","Verne, Jules, 1828-1905 [person] ; Rafter, Dan [person] ; Ahluwalia, Bhupendra [person]","015546389","Monograph","Language material ; Text","Volume","GBB058971","9788190696364","20,000 leagues under the sea","20000 leagues under the sea ; Twenty thousand leagues under the sea","","","England ; India","Delhi ; London","Campfire ; Frances Lincoln","2010","","1 volume, chiefly illustrations, 26 cm","741.5","","Underwater exploration--Comic books, strips, etc--Juvenile fiction","Children's fiction ; Comic or graphic novel ; Science fiction","English",""
"Ahluwalia, Bhupendra","","person","","Wells, H. G. (Herbert George), 1866-1946 [person] ; Taylor, Sean, 1965- [person] ; Ahluwalia, Bhupendra [person]","015415953","Monograph","Language material ; Text","Volume","GBA9A9534","9788190782937","The invisible man","","","","England ; India","Delhi ; London","Campfire ; Frances Lincoln","2010","","1 volume, chiefly illustrations, 26 cm","741.5","","Science--Experiments--Comic books, strips, etc--Juvenile fiction","Children's fiction ; Comic or graphic novel ; Science fiction","English",""
"Ahluwalia, Bhupendra","","person","","Welsh, Chris [person] ; Haggard, H. Rider (Henry Rider), 1856-1925 [person] ; Ahluwalia, Bhupendra [person]","015601474","Monograph","Language material ; Text","Volume","GBB084776","9788190696357","King Solomon's mines","","","","England ; India","Delhi ; London","Campfire ; Frances Lincoln","2010","","1 volume, chiefly colour illustrations, 26 cm","741.5","","Quatermain, Allan (Fictitious character)--Comic books, strips, etc--Juvenile fiction ; Diamond mines and mining--Comic books, strips, etc--Juvenile fiction","Adventure ; Children's fiction ; Comic or graphic novel","English",""
"Ahmad, Nyla","","person","editor","Ahmad, Nyla, editor [person]","018830940","Monograph","Language material ; Still image ; Text","Volume","GBB868139","9781910775158","Full colour : a graphic anthology","","","","Scotland","Glasgow","BHP Comics","2018","","61 pages, black and white illustrations, 24 cm","741.59","YKL.2019.a.20726","","Novel","English",""
"Ahmed, Maaheen","","person","author","Ahmed, Maaheen, author [person]","017809051","Monograph","Language material ; Text","Volume","GBB655100","9781496805935 ; 9781496820181","Openness of comics : generating meaning within flexible structures","","","","United States of America","Jackson","Mississippi ; University Press","2016","","viii, 223 pages, 8 unnumbered pages of plates, illustrations, 24 cm","741.59","YC.2019.a.6821","Graphic novels--History and criticism ; Comic books, strips, etc--History and criticism","","English",""
"Ahmed, Maaheen","","person","author","Ahmed, Maaheen, author [person]","018646864","Monograph","Language material ; Still image ; Text","Online resource (ebook)","GBB7O2665","9781496805973","Openness of comics : generating meaning within flexible structures","","","","United States of America","Jackson","Mississippi ; University Press","2018","","1 online resource, black and white illustrations","741.59","","Graphic novels--History and criticism ; Comic books, strips, etc--History and criticism","","English","Additional physical form: Print version. 9781496805935 ; Previously issued in print: 2016"
"Ahmed, Maaheen","","person","author","Ahmed, Maaheen, author [person]","019674938","Monograph","Language material ; Text","Volume","","9781496825261 ; 9781496825278","Monstrous imaginaries : the legacy of romanticism in comics","","","","United States of America","Jackson","Mississippi ; University Press","2020","","viii, 235 pages, illustrations, 24 cm","741.537","m20/.10192","Comic books, strips, etc--History and criticism ; LITERARY CRITICISM / Comics & Graphic Novels ; Monsters in popular culture ; Comic books, strips, etc--Psychological aspects ; Romanticism","","English","Additional physical form: Ahmed, Maaheen. Online version. Monstrous imaginaries. Jackson : University Press of Mississippi, 2019. 9781496825315"
"Ahmed, Maaheen","","person","author","Ahmed, Maaheen, author [person]","019791392","Monograph","Language material ; Still image ; Text","Online resource (ebook)","GBC058228","9781496825315","Monstrous imaginaries : the legacy of Romanticism in comics","","Mississippi scholarship online","","United States of America","Jackson","Mississippi ; University Press","2020","","1 online resource (264 pages), black and white illustrations","741.537","","Comic books, strips, etc--History and criticism ; Comic books, strips, etc--Psychological aspects ; Romanticism ; Monsters in popular culture","","English","Additional physical form: Print version. 9781496825261 ; Previously issued in print: 2019"
"Ahmed, Maaheen","","person","editor","Crucifix, Benoît, editor [person] ; Ahmed, Maaheen, editor [person]","019019319","Monograph","Language material ; Still image ; Text","Volume","GBB8F2110","9783319917450","Comics memory : archives and styles","","Palgrave studies in comics and graphic novels","","England","Basingstoke, Hampshire","Palgrave Macmillan","2018","","1 volume, illustrations (black and white and colour), 21 cm","741.59","","Comic books, strips, etc--History ; Memory in literature ; Comic books, strips, etc--Themes, motives","","English","Additional physical form: ebook version. 9783319917467"
"Ahmed, Maaheen","","person","editor","Crucifix, Benoît, editor [person] ; Ahmed, Maaheen, editor [person]","019019886","Monograph","Language material ; Still image ; Text","Online resource (PDF ebook)","GBB8F2676","9783319917467","Comics memory : archives and styles","","Palgrave studies in comics and graphic novels","","England","Basingstoke, Hampshire","Palgrave Macmillan","2018","","1 online resource, illustrations (black and white and colour)","741.59","ELD.DS.348279","Comic books, strips, etc--History ; Memory in literature ; Comic books, strips, etc--Themes, motives","","English","Additional physical form: Print version. 9783319917450"
"Ahmed, Saladin","","person","artist","Killam, Taran, author [person] ; Olortegui, Diego, artist [person] ; Ahmed, Saladin, artist [person]","019865951","Monograph","Language material ; Still image ; Text","Volume","GBC099791","9781302925697","Spider-Man & Stormranger","","Empyre","","United States of America","New York","Marvel Worldwide","2020","","1 volume, chiefly illustrations, 26 cm","741.5","","Spider-Man, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Ahmed, Saladin","","person","artist","Wilson, G. Willow, 1982-, author [person] ; Rowell, Rainbow, author [person] ; Ahmed, Saladin, artist [person]","019048700","Monograph","Language material ; Still image ; Text","Volume","GBB8G7933","9781302912697","Ms. Marvel. Vol. 10","","","","United States of America","New York","Marvel Worldwide","2018","","1 volume, chiefly colour illustrations, 26 cm","741.5","","Marvel, Ms--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Ahmed, Saladin","","person","author","Ahmed, Saladin, author [person] ; Carnero, Carmen, artist [person] ; Smith, Cory, artist [person]","019927750","Monograph","Language material ; Still image ; Text","Volume","GBC0D3493","9781302920173","Miles Morales. Vol. 4","","Spider-man","","United States of America","New York","Marvel Worldwide","2020","","1 volume, chiefly illustrations, 26 cm","741.5","","Spider-Man, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
