"Name","Dates associated with name","Type of name","Role","Other names","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"029","","person","illustrator","Gifford, Kevin, translator [person] ; Hiiragi, Akio, artist [person] ; 029, illustrator [person] ; Blakeslee, Brndn [person] ; Wagahara, Satoshi, author [person]","019368673","Monograph","Language material ; Still image ; Text","Volume","GBC021508","9781975301828","The devil is a part-timer!. 12","Hataraku Maousama! (Graphic novel). English","","","United States of America","New York","","2018","First Yen Press edition","168 pages, illustrations (black and white and colour), 19 cm","741.5952","YKL.2020.a.2951","","Novel ; Young adult fiction","English","Manga format; reads from back to front, right to left ; Translated from the Japanese"
"029","","person","illustrator","Mishima, Kurone, 1991-, illustrator [person] ; Gifford, Kevin, translator [person] ; 029, illustrator [person] ; Blakeslee, Brndn, illustrator [person] ; Wagahara, Satoshi, author [person]","018003156","Monograph","Language material ; Text","Online resource","GBB7F4211","9780316398077","The devil is a part-timer!. 5. High school!","Hataraku maoussama! High school!. English","","","","","","2016","","1 online resource (256 pages)","741.5952","ELD.DS.85953","High school students--Comic books, strips, etc ; Graphic novels--Japan ; Demonology ; Demonology--Comic books, strips, etc ; Comic books, strips, etc--Japan--Translations into English","Comic or graphic novel ; Novel ; Translations into English","English",""
"100 British Cartoonists of the Century (Exhibition), British Cartoon Centre, the Centre for the Study of Cartoons, Caricature","2000","meeting/conference","","Cartoon Art Trust [organisation] ; 100 British Cartoonists of the Century (Exhibition), British Cartoon Centre, the Centre for the Study of Cartoons, Caricature, 2000 [meeting/conference]","010123153","Monograph","Language material ; Text","Volume","GBA204243","9780953726318","The 100 British cartoonists of the century","","","","England","London","Beer Davies","2000","","108 pages, illustrations some colour, portraits some colour, 20 cm","741.5092241","YK.2002.a.449","Cartoonists--Great Britain--Exhibitions ; English wit and humor, Pictorial--Exhibitions","Exhibition","English","Catalogue of the exhibition at the British Cartoon Centre 26 February-12 April 2000 and at the Centre for the Study of Cartoons and Caricature 19 April-31 May 2000 ; Includes index ; Published in association with the Cartoon Art Trust"
"45726","","person","cartoonist","45726, cartoonist [person] ; Walmsley, Ian [person]","015486306","Monograph","Language material ; Text","Volume","GBB108256","9780955235443","Private lines : the collection","","","","England","Holmes Chapel","Ty Mawr Publications","2009","","96 pages, illustrations (some colour), 18 x 24 cm","741.5356","LC.31.a.9172","Railroads--Privatization--Great Britain--Caricatures and cartoons","Caricature or cartoon","English","'Foreword by Roger Ford'--Cover"
"5pb","","person","author","Sarachi, Yomi, artist [person] ; 5pb, author [person] ; Nitroplus, author [person]","017381699","Monograph","Language material ; Text","Volume","GBB570916","9781927925508","Steins;gate. Volume 1","","","","Canada","Richmond Hill","Udon Entertainment","2015","English edition","1 volume (unpaged), chiefly colour illustrations, 18 cm","741.5","","","Science fiction","English","Translated from the Japanese"
"5pb","","person","author","Sarachi, Yomi, artist [person] ; 5pb, author [person] ; Nitroplus, author [person]","017533820","Monograph","Language material ; Still image ; Text","Volume","GBB5C1618","9781927925553","Steins;Gate. Volume 2","","","","Canada","Richmond Hill","Udon Entertainment","2015","","1 volume (unpaged), chiefly colour illustrations, 18 cm","741.5","","","Science fiction","English","Translated from the Japanese"
"5pb, Inc. (Firm)","","organisation","author","Sarachi, Yomi, artist [person] ; Nitroplus (Firm), author [organisation] ; 5pb, Inc. (Firm), author [organisation]","017745202","Monograph","Language material ; Still image ; Text","Volume","GBB624577","9781927925713","Steins;Gate. Volume 3","","","","Canada","Richmond Hill","Udon Entertainment","2016","","1 volume (unpaged), chiefly colour illustrations, 18 cm","741.5","","","Science fiction","English","Translated from the Japanese"
"8fish","","organisation","","8fish [organisation]","014621792","Monograph","Language material ; Text","Volume","GBA868997","9781600610493","Making faces : drawing expressions for comics and cartoons","","","","United States of America","Cincinnati, Ohio ; Newton Abbot","David & Charles ; Impact","2008","1st edition","175 pages, illustrations (some colour), 28 cm","741.51","YK.2009.b.2858","Drawing--Technique ; Comic books, strips, etc--Technique ; Facial expression in art","","English","Includes index"
"8fish","","organisation","author","Hamernik, Harry, 1973-, author [person] ; 8fish, author [organisation]","016628252","Monograph","Language material ; Still image ; Text","Volume","GBB417386","9781440336164","Drawing cartoon faces","","","","United States of America","Cincinnati ; Newyon Abbot","F & W Media International ; Impact","2014","","208 pages, illustrations (black and white and colour), 28 cm","741.5","","Drawing--Technique ; Cartooning--Technique ; Face--Caricatures and cartoons","","English","Includes index"
"9colorstudio (Artists' collective)","","organisation","author","9colorstudio (Artists' collective), author [organisation]","016444104","Monograph","Language material ; Still image ; Text","Volume","GBB357712","9781615644155","Drawing manga","","Idiot's guides","","United States of America","Indianapolis, Indiana","Alpha","2013","","volumes, 217 pages, illustrations, 24 cm","741.5","YK.2013.a.22950","Human beings--Caricatures and cartoons ; Comic books, strips, etc--Technique ; Cartooning--Japan--Technique","Caricature or cartoon","English",""
"9colorstudio","","organisation","","9colorstudio [organisation]","018186759","Monograph","Language material ; Text","Online resource","GBB713038","9781615645619 ; 9781615645626","Drawing manga","","Idiot's guides : as easy as it gets!","","United States of America","New York","Alpha","2013","","1 online resource (217 pages), illustrations (some colour)","741.51","ELD.DS.112076","Drawing ; Cartoons and caricatures--Japan ; Cartoon characters ; ART--Techniques--Drawing ; Cartoon characters--Japan ; Manga--Technique ; Figure drawing--Technique ; Comic books, strips, etc--Technique ; Comic books, strips, etc--Japan--Technique","","English",""
"A Larger World Studios","","organisation","","Huder, Aaron, author [person] ; Yang, Gene Luen, author [person] ; Cox, Jeromy [person] ; Bogdanove, Jon [person] ; Blond [person] ; Leigh, Rob [person] ; A Larger World Studios [organisation] ; Herbert, Jackson [person] ; Hi-Fi Colour Design, artist [organisation] ; Pak, Greg, author [person] ; Jurgens, Dan [person] ; Tomasi, Peter, author [person] ; Wands, Steve [person] ; Derenick, Tom [person] ; Bermudez, Raymund [person] ; Janín, Mikel [person] ; Porter, Howard, artist [person]","018083868","Monograph","Language material ; Still image ; Text","Volume","GBB6E7822","9781401265113 ; 9781401268305","Superman. Volume 2. Return to glory","Return to glory","","","United States of America","Burbank, California","DC Comics","2016","","1 volume (unpaged), colour illustrations, 27 cm","741.5973","YKL.2017.b.5572","COMICS & GRAPHIC NOVELS / Superheroes ; Superman, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction","English","'Batman created by Bob Kane with Bill Finger' ; 'Originally published in single magazine form in Superman 45-52, Superman Annual 3, Superman Rebirth 1, Batman 50'--Title page verso ; 'Superman created by Jerry Siegel and Joe Shuster'"
"A Larger World Studios","","organisation","","Huder, Aaron, author [person] ; Yang, Gene Luen, author [person] ; Cox, Jeromy [person] ; Bogdanove, Jon [person] ; Blond [person] ; Leigh, Rob [person] ; A Larger World Studios [organisation] ; Herbert, Jackson [person] ; Hi-Fi Colour Design, artist [organisation] ; Pak, Greg, author [person] ; Jurgens, Dan [person] ; Tomasi, Peter, author [person] ; Wands, Steve [person] ; Derenick, Tom [person] ; Bermudez, Raymund [person] ; Janín, Mikel [person] ; Porter, Howard, artist [person]","018171029","Monograph","Language material ; Still image ; Text","Volume","GBB703898","9781401265113 ; 9781401268305","Superman. Volume 2. Return to glory","Return to glory","","","United States of America","Burbank, California","DC Comics","2016","","1 volume (unpaged), colour illustrations, 26 cm","741.5973","YKL.2018.b.1769","COMICS & GRAPHIC NOVELS / Superheroes ; Superman, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction","English","'Batman created by Bob Kane with Bill Finger' ; 'Originally published in single magazine form in Superman 45-52, Superman Annual 3, Superman Rebirth 1, Batman 50'--Title page verso ; 'Superman created by Jerry Siegel and Joe Shuster'"
"A Larger World Studios","","organisation","","Moreci, Michael, author [person] ; Ayala, Vita, author [person] ; Sharma, Lalit (Lalit Kumar), artist [person] ; Hanna, Scott, artist [person] ; Kumar, Jagdish, Comic book inker, artist [person] ; Renzi, Rico, artist [person] ; Merhoff, Matt, artist [person] ; Sebela, Christopher, author [person] ; Sotelo, Beth [person] ; Bazaldua, Oscar, artist [person] ; Level, Brian, artist [person] ; A Larger World Studios [organisation] ; Huddleston, Mike, artist [person] ; McCaig, Dave, artist [person]","018214578","Monograph","Language material ; Still image ; Text","Volume","GBB717648","9781401270414","Suicide Squad : secret files","","","","United States of America","Burbank, California","DC Comics","2017","","1 volume (unpaged), illustrations, 26 cm","741.5973","YKL.2018.b.2679","COMICS & GRAPHIC NOVELS / Superheroes","Comic or graphic novel","English","'Amanda Waller created by John Ostrander & John Byrne' ; 'Killer Croc created by Gerry Conway & Don Newton' ; 'Originally published in single magazine form in SUICIDE SQUAD MOST WANTED 1-6'--Title page verso"
"A Larger World Studios","","organisation","","Terry, Jim, artist ; author [person] ; A Larger World Studios [organisation] ; Seeley, Tim, author [person] ; Oliva, Aikau [person]","017766293","Monograph","Language material ; Still image ; Text","Volume","GBB634622","9781606908815","Alice Cooper vs. Chaos","Alice Cooper versus Chaos","","","United States of America","Mount Laurel","Dynamite","2016","","1 volume (unpaged), chiefly colour illustrations, 26 cm","741.5973","YKL.2017.b.5524","Cooper, Alice, 1948---Comic books, strips, etc--Fiction ; Graphic novels","Comic or graphic novel ; Fiction ; Horror","English","Collects the complete 6-issue miniseries"
"A Larger World Studios","","organisation","","Wagner, Brennan, artist [person] ; A Larger World Studios [organisation] ; Steen, Rob, 1964- [person] ; Wagner, Matt, artist ; author [person]","018000711","Monograph","Language material ; Still image ; Text","Volume","GBB6C4265","9781524101992 ; 9781524102883 ; 9781524102890","The Shadow. Volume one. The death of Margo Lane","Death of Margo Lane","","","United States of America","Mount Laurel, New Jersey","Dynamite Entertainment","2016","","1 volume (unpaged), chiefly colour illustrations, 27 cm","741.5973","YKL.2018.b.993","Graphic novels","Suspense","English","'Originally published in magazine form as The Shadow: the death of Margo Lane #1-5, and The Shadow #100 (the curse of Blackbeard's skull) '--Title page verso"
"A Larger World Studios","","organisation","","Yang, Gene Luen, author [person] ; Cifuentes, Vicente [person] ; Bogdanove, Jon [person] ; Blond [person] ; Leigh, Rob [person] ; Loughridge, Lee [person] ; Pak, Greg, author [person] ; Kuder, Aaron, artist ; author [person] ; Albarran, Juan, artist [person] ; Tomasi, Peter, author [person] ; Morey, Tomeu, artist [person] ; Wands, Steve [person] ; A Larger World Studios [organisation] ; Hi-Fi Colour Design [organisation] ; Fernandez, Javi [person]","018083871","Monograph","Language material ; Still image ; Text","Volume","GBB6E7825","9781401270049","Superman : savage dawn","","","","United States of America","Burbank, California","DC Comics","2016","","1 volume (unpaged), colour illustrations, 27 cm","741.5973","YKL.2017.b.5591","COMICS & GRAPHIC NOVELS--Superheroes ; Superman, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction","English","Contains material originally published in 2016 in single magazine form as Action Comics #48-50, Superman #48-50, Superman Annual #3, and Superman/Wonder Woman #25-27. Also contains previously unpublished: Superman/Wonder Woman #30-31"
"ABe, Yoshitoshi","1971-","person","","Jarvis, Mulele [person] ; ABe, Yoshitoshi, 1971- [person] ; Jaffe, Taliesin [person] ; Klein, Jonathan [person] ; Geneon Entertainment (Usa) [organisation]","013470413","Monograph","Language material ; Text","Volume","GBA648197","","Yoshitoshi ABe's Haibane Renmei anime manga","Haibane Renmei anime manga","","","United States of America","Milwaukie, Oregon","Dark Horse Manga","2006-","","volumes, chiefly colour illustrations, 19 cm","741.5952","YK.2009.a.22034","Angels--Comic books, strips, etc","Comic or graphic novel ; Fantasy ; Novel","English","'Features the first six chapters from New feathers and Wings of sorrow'--Vol. 1, back cover ; 'Manga / science fiction / action.'--p. 4 of cover ; Description based on v. 1: written by Yoshitoshi ABe ; Translated from the Japanese"
"Aamodt, Britt","","person","","Aamodt, Britt [person]","015736230","Monograph","Language material ; Text","Volume","","9780873517775","Superheroes, strip artists, & talking animals : Minnesota's contemporary cartoonists","Minnesota's contemporary cartoonists ; Superheroes, strip artists, and talking animals","","","United States of America","St Paul, Minnesota","Minnesota Historical Society ; Press","2011","","200 pages, illustrations, 28 cm","741.59776","YD.2011.b.790","Comic books, strips, etc--Minnesota--History--21st century ; Cartoonists--Minnesota--Biography","Biography","English","Includes index"
"Aardman Animations (Firm)","","organisation","","Aardman Animations (Firm) [organisation]","016461967","Monograph","Language material ; Still image ; Text","Volume","GBB366564","9781782760320","Wallace & Gromit. Volume 1. 2010-2011","Wallace & Gromit : the complete newpaper comic strips collection","","","England","London","Titan Comics","2013","","1 volume (unpaged), chiefly colour illustrations, 25 cm","741.56941","YK.2014.a.19522","Wallace (Fictitious character)--Comic books, strips, etc ; Gromit (Fictitious character)--Comic books, strips, etc","Comic or graphic novel","English","'The complete newspaper comic strips collection'"
"Aardman Animations (Firm)","","organisation","","Aardman Animations (Firm) [organisation]","016822925","Monograph","Language material ; Still image ; Text","Volume","GBB485167","9781782760825","Wallace & Gromit. Volume 2. 2011-2012","Wallace & Gromit : the complete newspaper comic strips collection","","","England","London","Titan Comics","2014","","1 volume (unpaged), chiefly colour illustrations, 25 cm","741.56941","YKL.2016.a.7968","Wallace (Fictitious character)--Comic books, strips, etc ; Gromit (Fictitious character)--Comic books, strips, etc","Comic or graphic novel","English","'The complete newspaper comic strips collection'"
"Aardman Animations (Firm)","","organisation","","Aardman Animations (Firm) [organisation]","017471795","Monograph","Language material ; Still image ; Text","Volume","GBB5A5397","9781782762058","Wallace & Gromit : the complete newspaper comic strips collection. Volume 4. 2013","","","","England","London","Titan Comics","2015","","1 volume (unpaged), chiefly colour illustrations, 24 cm","741.56941","YKL.2017.a.6804","Wallace (Fictitious character)--Comic books, strips, etc ; Gromit (Fictitious character)--Comic books, strips, etc","Comic or graphic novel","English",""
"Aardman Animations (Firm)","","organisation","","Kerwin, Bill [person] ; Aardman Animations (Firm) [organisation]","010063175","Monograph","Language material ; Text","Volume","GB99Z1343","9780563380085","A grand day out","","Wallace & Gromit","","England","London","","1999","","48 pages, chiefly colour illustrations, 26 cm","741.5","YK.2000.b.2543","Wallace (Fictitious character)--Comic books, strips, etc ; Gromit (Fictitious character)--Comic books, strips, etc","Comic or graphic novel ; Novel","English",""
"Aardman Animations (Firm)","","organisation","","Manley-Leach, David, editor [person] ; Aardman Animations (Firm) [organisation]","017038673","Monograph","Language material ; Still image ; Text","Volume","GBB514701","9781782762041","Wallace & Gromit. Volume 3. 2012-2013","Wallace & Gromit : the complete newspaper comic strips collection","","","England","London","Titan Comics","2015","","1 volume (unpaged), chiefly colour illustrations, 25 cm","741.56941","YKL.2018.a.14001","Wallace (Fictitious character)--Comic books, strips, etc ; Gromit (Fictitious character)--Comic books, strips, etc","Comic or graphic novel","English",""
"Aardman Animations (Firm)","","organisation","","Park, Nick [person] ; Jones, Nick [person] ; Rimmer, Ian, 1955- [person] ; Williamson, Brian, 1969- [person] ; Furman, Simon [person] ; Aardman Animations (Firm) [organisation]","013251379","Monograph","Language material ; Text","Volume","GBA559559","9781840239485","The bootiful game","","Wallace & Gromit","","England","London","Titan","2005","","48 pages, chiefly colour illustrations, 30 cm","741.5","","Wallace (Fictitious character)--Comic books, strips, etc--Juvenile fiction ; Gromit (Fictitious character)--Comic books, strips, etc--Juvenile fiction","Children's fiction ; Comic or graphic novel ; Novel","English","Published in association with Aardman Animation"
"Aarhus kunstmuseum","","organisation","","Christensen, Charlotte [person] ; Aarhus kunstmuseum [organisation]","007995734","Monograph","Language material ; Text","Volume","","","N.A. Abildgaard : Malerier og tegninger i Aarhus Kunstmuseum","","Billedhæfte","1 [Billedhæfte]","Denmark","Århus","Aarhus Kunstmuseum","1977","","36 pages, illustrations, 21 cm","741.59489","X.421/21219","Danish drawings--Abildgaard, N--Catalogues ; Abildgaard, Nicolai, 1743-1809 ; Aarhus kunstmuseum","","Danish",""
"Aaron, Dash","","person","author","Aaron, Dash, author [person] ; Aaron, Jason, author [person] ; Mayhew, Mike, artist [person]","019765524","Monograph","Language material ; Still image ; Text","Volume","GBC051002","9781302925284","From the journals of Obi-Wan Kenobi","","Star Wars","","United States of America","New York","Marvel Worldwide","2020","","1 volume, chiefly illustrations, 26 cm","741.5973","","Science fiction comic books, strips, etc ; Star Wars fiction","","English",""
"Aaron, Huw","1980-","person","translator","Hillman, Ben, artist ; author [person] ; Aaron, Huw, 1980-, translator [person] ; Jones, Elidir, translator [person]","020241796","Monograph","Language material ; Still image ; Text","Volume","GBC1A2745","9781914303012","Yr allwedd amser","","","","Wales","Cardiff","Broga","2021","","1 volume, chiefly illustrations","741.5","","","Children's fiction","Welsh","Translated from the English"
"Aaron, Jason","","person","","Aaron, Jason [person] ; Bachalo, Chris [person] ; Bradshaw, Nick, artist [person]","016106972","Monograph","Language material ; Text","Volume","GBB259556","9780785159995","Wolverine and the X-Men. Volume 3","","","","England ; United States of America","London ; New York","Marvel ; Turnaround","2012","","1 volume, chiefly colour illustrations, 26 cm","741.5","","X-Men (Fictitious characters)--Fiction ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Bachalo, Chris [person] ; Bradshaw, Nick, artist [person]","016135514","Monograph","Language material ; Text","Volume","GBB274768","9780785156802","Wolverine and the X-Men. Volume 1","","","","England ; United States of America","London ; New York","Marvel ; Turnaround","2012","","1 volume, chiefly colour illustrations, 26 cm","741.5","","X-Men (Fictitious characters)--Fiction ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Bachalo, Chris [person] ; Bradshaw, Nick, artist [person]","016156147","Monograph","Language material ; Text","Volume","GBB284662","9780785165422","Wolverine and the X-Men. Volume 4","","","","England ; United States of America","London ; New York","Marvel ; Turnaround","2012","","1 volume, chiefly colour illustrations, 26 cm","741.5","","X-Men (Fictitious characters)--Fiction ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Bachalo, Chris [person] ; Bradshaw, Nick, artist [person]","016219170","Monograph","Language material ; Text","Volume","GBB2B9613","9780785156826","Wolverine and the X-Men. Volume 2","","","","England ; United States of America","London ; New York","Marvel ; Turnaround","2013","","1 volume, chiefly colour illustrations, 26 cm","741.5","","X-Men (Fictitious characters)--Fiction ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Bachalo, Chris [person] ; Bradshaw, Nick, artist [person]","016233498","Monograph","Language material ; Text","Volume","GBB2C7547","9780785160007","Wolverine and the X-Men. Volume 3","","","","England ; United States of America","London ; New York","Marvel ; Turnaround","2013","","1 volume, chiefly colour illustrations, 26 cm","741.5","","X-Men (Fictitious characters)--Fiction ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Bachalo, Chris [person]","015964916","Monograph","Language material ; Text","Volume","GBB1C9021","9781846535130","Wolverine and the X-Men. Regenesis","Regenesis","","","England","Tunbridge Wells","Panini","2012","","approximately 150 pages, chiefly colour illustrations, 26 cm","741.5973","YK.2012.b.10604","X-Men (Fictitious characters)--Fiction ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English","'Collecting Wolverine and the X-Men #1-7'--Back cover"
"Aaron, Jason","","person","","Aaron, Jason [person] ; Boschi, Roland [person] ; Ketchum, Daniel [person] ; Sitterson, Aubrey [person] ; Huat, Tan Eng [person]","014702467","Monograph","Language material ; Text","Volume","GBA8A3327","9780785130178","Hell bent & heaven bound","","Ghost Rider","volume 5 [Ghost Rider]","United States of America","New York","Marvel","2008","","144 pages, chiefly colour illustrations, 27 cm","741.5973","YK.2010.b.5923","Horror comic books, strips, etc","","English","reprinted from: Ghost rider #20-25"
"Aaron, Jason","","person","","Aaron, Jason [person] ; Bradshaw, Nick, artist [person]","016094743","Monograph","Language material ; Text","Volume","GBB252359","9780785156819","Wolverine and the X-Men. Volume 2","","","","England ; United States of America","London ; New York","Marvel ; Turnaround","2012","","1 volume, chiefly colour illustrations, 26 cm","741.5","","X-Men (Fictitious characters)--Fiction ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Brusco, Giulia [person] ; Mulvihill, Patricia [person] ; Guéra, R. M. [person]","015523234","Monograph","Language material ; Text","Volume","GBB047061","9781401227173 ; 9781848567719","Scalped. The gnawing","Gnawing","","","England ; United States of America","London ; New York","DC Comics ; Titan","2010","","1 volume (unpaged), chiefly colour illustrations, 26 cm","741.5973","YK.2010.b.10760","Casinos--Comic books, strips, etc ; Indian reservations--Comic books, strips, etc ; United States--Federal Bureau of Investigation--Officials and employees--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Novel","English","'6'--Spine ; 'Originally published in single magazine form as Scalped 30-34'--T.p. verso ; 'Scalped created by Jason Aaron and R.M. Guéra.' ; 'Vertigo'--Cover"
"Aaron, Jason","","person","","Aaron, Jason [person] ; Dillon, Steve [person] ; Palo, Jefte [person]","016176407","Monograph","Language material ; Text","Volume","GBB296136","9780785161127","Incredible Hulk. Volume 2","","","","England ; United States of America","London ; New York","Marvel ; Turnaround","2013","","1 volume, chiefly illustrations, 28 cm","741.5","","Hulk, (Fictitious character)--Comic book, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Dillon, Steve [person]","015974025","Monograph","Language material ; Text","Volume","GBB1D4050","9780785152101","Homeless","","Punisher Max","","England ; United States of America","London ; New York","Marvel ; Turnaround","2012","","1 volume, chiefly colour illustrations, 26 cm","741.5","","Punisher (Fictitious character)--Comic books, strips, etc--Fiction ; Science fiction comic books, strips, etc","Comic or graphic novel ; Fiction","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Dillon, Steve [person]","016004885","Monograph","Language material ; Text","Volume","GBB201997","9780785152095","Frank","","Punisher Max","","England ; United States of America","London ; New York","Marvel ; Turnaround","2012","","1 volume, chiefly illustrations, 23 cm","741.5973","","Punisher (Fictitious character)--Comic books, strips, etc--Fiction ; Science fiction comic books, strips, etc","Comic or graphic novel ; Fiction","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Dillon, Steve [person]","016111368","Monograph","Language material ; Text","Volume","GBB262008","9780785152118","Homeless","","Punisher Max","","England ; United States of America","London ; New York","Marvel ; Turnaround","2012","","1 volume, chiefly colour illustrations, 26 cm","741.5973","","Punisher (Fictitious character)--Comic books, strips, etc--Fiction ; Science fiction comic books, strips, etc","Comic or graphic novel ; Fiction","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Furnò, Davide [person] ; Guéra, R. M. [person]","014927209","Monograph","Language material ; Text","Volume","GBA925998","9781401221799 ; 9781848562370","Scalped. The gravel in your guts","Boudoir stomp ; Gravel in your guts ; The gravel in you guts","","","England ; United States of America","London ; New York","DC Comics ; Titan","2009","","135 pages, chiefly colour illustrations, 26 cm","741.5973","YK.2009.b.9600","Indian reservation police--Comic books, strips, etc ; Comic books, strips, etc--United States ; Dashiell Bad Horse (Fictitious character)--Comic books, strips, etc--Fiction ; United States--Federal Bureau of Investigation--Officials and employees--Fiction ; Indian reservations--Comic books, strips, etc ; Undercover operations--Comic books, strips, etc","Comic or graphic novel ; Detective and mystery ; Fiction ; Novel","English","'4'--Spine ; 'Originally published in single magazine form as Scalped 19-24'--T.p. verso ; 'Scalped created by Jason Aaron and R.M. Guéra.' ; 'Vertigo'-- Cover"
"Aaron, Jason","","person","","Aaron, Jason [person] ; Furnò, Davide [person] ; Latour, Jason, 1977- [person] ; Guéra, R. M. [person] ; Wands, Steve [person] ; Brusco, Giulia [person]","015856150","Monograph","Language material ; Text","Volume","GBB189010","9780857688910 ; 9781401232887","Scalped. You gotta sin to get saved","You gotta sin to get saved","","","United States of America","New York","DC Comics","2011","","1 volume (unpaged), chiefly colour illustrations, 26 cm","741.5973","YK.2012.b.1251","Indian reservations--South Dakota--Fiction--Comic books, strips, etc ; Undercover operations--Fiction--Comic books, strips, etc ; Detective and mystery comic books, strips, etc ; Organized crime--Fiction--Comic books, strips, etc ; United States--Federal Bureau of Investigation--Officials and employees--Comic books, strips, etc--Fiction ; Casinos--Fiction--Comic books, strips, etc ; Poverty--Fiction--Comic books, strips, etc ; Vietnam War, 1961-1975--Fiction--Comic books, strips, etc ; Indian reservation police--Fiction--Comic books, strips, etc","Comic or graphic novel ; Fiction","English","'8'--Spine ; 'Vertigo'--Cover ; Contains material originally published in single magazine form as Scalped #43-49"
"Aaron, Jason","","person","","Aaron, Jason [person] ; Garney, Ron [person] ; Alonso, Axel [person] ; Keith, Jason [person]","014627162","Monograph","Language material ; Text","Volume","GBA871094","9780785129639","Get mystique","","Wolverine","","England ; United States of America","London ; New York","Diamond ; Marvel","2008","","95 pages, chiefly colour illustrations, 26 cm","741.5973","YK.2009.b.5626","Horror comic books, strips, etc ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Garney, Ron [person] ; Guedes, Renato [person]","016106975","Monograph","Language material ; Text","Volume","GBB259559","9780785161424","Goodbye, Chinatown","","Wolverine","","England ; United States of America","London ; New York","Marvel ; Turnaround","2012","","1 volume, chiefly colour illustrations, 26 cm","741.5","","Wolverine (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Garney, Ron [person] ; Kubert, Adam [person]","016181872","Monograph","Language material ; Text","Volume","GBB299252","9780785161448","Wolverine. Back in Japan","","","","England ; United States of America","London ; New York","Marvel ; Turnaround","2013","","1 volume, 26 cm","741.5","","Wolverine (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Garney, Ron [person] ; Ribic, Esad [person]","015695814","Monograph","Language material ; Text","Volume","GBB0D6278","9780785146513","Tomorrow dies today","","Wolverine. Weapon X","volume 3 [Wolverine. Weapon X]","England ; United States of America","London ; New York","Marvel ; Turnaround","2011","","1 volume, chiefly illustrations","741.5","","Wolverine (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Garney, Ron [person] ; Suǆuka, Goran [person]","016004900","Monograph","Language material ; Text","Volume","GBB202012","9780785161417","Goodbye, Chinatown","","Wolverine","","England ; United States of America","London ; New York","Marvel ; Turnaround","2012","","1 volume, 26 cm","741.5","","Wolverine (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Aaron, Jason","","person","","Aaron, Jason [person] ; Garney, Ron [person]","015357219","Monograph","Language material ; Text","Volume","GBA984452","","Wolverine. Weapon X","Weapon X","","","United States of America","New York","Marvel Publishing","2009-","","3 volumes, chiefly colour illustrations, 27 cm","741.5973","YK.2010.b.6313 ; YK.2010.b.6629","Horror comic books, strips, etc ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction","English","'Contains material originally published in magazine form as Wolverine: Weapon X #1-5 and Wolverine #73-74'--Vol. 1 ; 'Contains material originally published in magazine form as Wolverine: Weapon X #6-10'--Vol. 2 ; Artists vary between volume"
